iter	RMSE
0	13.78719009
1	13.70346937
2	13.62335132
3	13.55818937
4	13.48056298
5	13.40565796
6	13.33388001
7	13.25902653
8	13.19497852
9	13.11945585
10	13.06200251
11	13.00965871
12	12.97341725
13	12.92416864
14	12.88575035
15	12.8286017
16	12.77678876
17	12.73557498
18	12.69528399
19	12.65599173
20	12.62669092
21	12.58726934
22	12.54663336
23	12.51590063
24	12.4801122
25	12.46781646
26	12.43062691
27	12.39992478
28	12.3612763
29	12.35043744
30	12.32291633
31	12.30487038
32	12.27347636
33	12.24699163
34	12.22217724
35	12.19349172
36	12.16987065
37	12.15082725
38	12.12802419
39	12.11254741
40	12.10449102
41	12.08363743
42	12.07668307
43	12.05600645
44	12.03343523
45	12.01685392
46	11.99747962
47	11.98999975
48	11.97010115
49	11.95426678
50	11.93817113
51	11.92145616
52	11.90252279
53	11.88731424
54	11.87375514
55	11.85507559
56	11.83825426
57	11.82083575
58	11.81228212
59	11.79595409
60	11.79136205
61	11.77673227
62	11.76272396
63	11.75949833
64	11.75048982
65	11.73760905
66	11.73074446
67	11.72425143
68	11.71257185
69	11.70719238
70	11.69835725
71	11.69220741
72	11.68960611
73	11.68185091
74	11.68128976
75	11.669028
76	11.66593405
77	11.65308881
78	11.64988045
79	11.63946205
80	11.63191383
81	11.62733208
82	11.61544093
83	11.61322187
84	11.60086495
85	11.59391229
86	11.58735202
87	11.57709645
88	11.56995353
89	11.56319651
90	11.55753936
91	11.55161595
92	11.54215047
93	11.53871759
94	11.52836296
95	11.52784218
96	11.51899265
97	11.5129965
98	11.51078315
99	11.50045572
100	11.49607374
101	11.49090824
102	11.48960295
103	11.48199729
104	11.47320246
105	11.46714934
106	11.45840971
107	11.44921576
108	11.44248228
109	11.43363613
110	11.42476861
111	11.41742773
112	11.40800775
113	11.40096259
114	11.39818922
115	11.39507476
116	11.38849014
117	11.37987075
118	11.37472298
119	11.37408924
120	11.37030395
121	11.36928929
122	11.36356448
123	11.35800528
124	11.35621821
125	11.35528528
126	11.35180645
127	11.35157355
128	11.34930594
129	11.34347152
130	11.33995199
131	11.33507014
132	11.33378166
133	11.33259664
134	11.33077674
135	11.32895164
136	11.32504355
137	11.31959616
138	11.31630545
139	11.31355256
140	11.30686174
141	11.30680643
142	11.30294743
143	11.29675261
144	11.29304603
145	11.2890682
146	11.28408036
147	11.2792061
148	11.27114774
149	11.26316929
150	11.25814225
151	11.25636959
152	11.25285917
153	11.24871396
154	11.24264749
155	11.24193782
156	11.23675779
157	11.23631475
158	11.23397394
159	11.23346311
160	11.22634695
161	11.22138418
162	11.22021453
163	11.21908913
164	11.21418647
165	11.20858458
166	11.20392959
167	11.19857746
168	11.19470774
169	11.18970231
170	11.18942043
171	11.18671654
172	11.18414434
173	11.18060884
174	11.17666257
175	11.17632674
176	11.17203347
177	11.16971855
178	11.16643529
179	11.16116282
180	11.15552452
181	11.14895468
182	11.14297643
183	11.13972486
184	11.13549168
185	11.13049947
186	11.12854523
187	11.12292496
188	11.12035436
189	11.11604506
190	11.11382144
191	11.11348677
192	11.10851513
193	11.10730168
194	11.1044528
195	11.10149521
196	11.09799431
197	11.09461038
198	11.08943701
199	11.08384064
200	11.07891888
201	11.07450984
202	11.06870764
203	11.06492677
204	11.06020263
205	11.05544288
206	11.05148814
207	11.04891861
208	11.04424966
209	11.04213101
210	11.03876548
211	11.03588212
212	11.03177156
213	11.02665347
214	11.02290759
215	11.01975794
216	11.01474229
217	11.01147175
218	11.00772716
219	11.00564545
220	11.00223916
221	10.99943383
222	10.99558051
223	10.99297941
224	10.98973721
225	10.98572381
226	10.98106983
227	10.97769432
228	10.97467024
229	10.97116392
230	10.96706351
231	10.96363991
232	10.96054708
233	10.958385
234	10.95495754
235	10.95260784
236	10.95052895
237	10.94587959
238	10.94360948
239	10.9422185
240	10.94032052
241	10.9362155
242	10.93227982
243	10.92977897
244	10.92678275
245	10.92491776
246	10.92240704
247	10.91988798
248	10.91776405
249	10.91501913
250	10.91316723
251	10.90906945
252	10.90705947
253	10.9032865
254	10.89963589
255	10.89859343
256	10.89687213
257	10.89355969
258	10.89080677
259	10.88777614
260	10.8858676
261	10.88202172
262	10.87845333
263	10.8769994
264	10.87224447
265	10.8708668
266	10.86689246
267	10.86357222
268	10.86234071
269	10.8596632
270	10.85806631
271	10.85518561
272	10.85390282
273	10.85148448
274	10.85036152
275	10.84727629
276	10.84512967
277	10.84207092
278	10.83903466
279	10.83798214
280	10.83648939
281	10.83250838
282	10.82884027
283	10.82598726
284	10.82290568
285	10.82036001
286	10.8165296
287	10.81487933
288	10.81223404
289	10.81044538
290	10.80933802
291	10.80708731
292	10.80516742
293	10.80305066
294	10.80157985
295	10.79876868
296	10.79620623
297	10.79442278
298	10.7924228
299	10.79052249
300	10.78943499
301	10.78695377
302	10.78363119
303	10.78217697
304	10.78139067
305	10.77955601
306	10.77764532
307	10.77604903
308	10.77519643
309	10.77288702
310	10.77208109
311	10.77084357
312	10.76970374
313	10.76716588
314	10.76476461
315	10.76343206
316	10.76237707
317	10.76000727
318	10.75913007
319	10.75683309
320	10.75383071
321	10.75169303
322	10.74894326
323	10.74663554
324	10.74484226
325	10.74341619
326	10.74215571
327	10.74032174
328	10.73828503
329	10.73758544
330	10.73642271
331	10.73390286
332	10.73233589
333	10.73103371
334	10.73021968
335	10.72792919
336	10.72581978
337	10.72499514
338	10.72394009
339	10.72247248
340	10.72165775
341	10.71916262
342	10.71637626
343	10.7157243
344	10.71504298
345	10.71330117
346	10.71163889
347	10.7109201
348	10.70994543
349	10.70812975
350	10.70634333
351	10.70409634
352	10.70256998
353	10.70088183
354	10.69969078
355	10.69651663
356	10.6944347
357	10.69384543
358	10.69203886
359	10.68982321
360	10.68788929
361	10.68728562
362	10.68528499
363	10.68365811
364	10.68183288
365	10.68100489
366	10.67927608
367	10.67881474
368	10.67720554
369	10.67667219
370	10.67497732
371	10.67312675
372	10.67188091
373	10.67067664
374	10.66919106
375	10.66761461
376	10.66696326
377	10.66558304
378	10.66410937
379	10.66250576
380	10.66136066
381	10.65874886
382	10.65722315
383	10.65570414
384	10.65486845
385	10.65324619
386	10.65197615
387	10.65037359
388	10.64913159
389	10.6477295
390	10.6460594
391	10.64387935
392	10.64339879
393	10.64191623
394	10.64047773
395	10.63895774
396	10.63851917
397	10.63780217
398	10.63628178
399	10.63552659
400	10.6344401
401	10.63235344
402	10.63170347
403	10.63088754
404	10.62974405
405	10.62905598
406	10.62747735
407	10.62704537
408	10.62573005
409	10.6237971
410	10.62283021
411	10.6214092
412	10.62023924
413	10.6194865
414	10.61848266
415	10.61710938
416	10.61582633
417	10.61460364
418	10.61338094
419	10.61164142
420	10.60995128
421	10.60885252
422	10.60700687
423	10.60618362
424	10.60518301
425	10.60415685
426	10.60338895
427	10.60282234
428	10.60180617
429	10.60136966
430	10.60091451
431	10.59974271
432	10.59913408
433	10.59798564
434	10.59688538
435	10.59645833
436	10.59605081
437	10.5953334
438	10.59453371
439	10.59363637
440	10.59276716
441	10.59232931
442	10.5911145
443	10.5902084
444	10.58981709
445	10.58891888
446	10.58745899
447	10.58653518
448	10.58602004
449	10.58484862
450	10.58367904
451	10.58224982
452	10.58135092
453	10.58020463
454	10.57939805
455	10.57857553
456	10.5774334
457	10.57715923
458	10.57667361
459	10.57507101
460	10.5742543
461	10.57344945
462	10.57310852
463	10.57264847
464	10.57172282
465	10.57095724
466	10.57023796
467	10.56971857
468	10.56907573
469	10.56811904
470	10.56696683
471	10.56608051
472	10.56541751
473	10.56477672
474	10.56450134
475	10.5639264
476	10.56292127
477	10.56200821
478	10.56131371
479	10.56075461
480	10.56003991
481	10.55922952
482	10.55879068
483	10.55815036
484	10.55734192
485	10.55666996
486	10.55601853
487	10.55540978
488	10.55508835
489	10.55391289
490	10.55319921
491	10.55273162
492	10.55215481
493	10.55153693
494	10.55063975
495	10.54953529
496	10.54894831
497	10.54829658
498	10.54792328
499	10.54735835
500	10.54641152
501	10.5459994
502	10.54524612
503	10.54441336
504	10.54417553
505	10.54394712
506	10.54365039
507	10.54280462
508	10.54193767
509	10.54121763
510	10.54039858
511	10.54012477
512	10.53901993
513	10.53841649
514	10.53819185
515	10.53771944
516	10.53711821
517	10.53588224
518	10.53533204
519	10.5344932
520	10.53375198
521	10.53300373
522	10.53268995
523	10.53186817
524	10.53109341
525	10.53045795
526	10.53008135
527	10.52972538
528	10.52920371
529	10.52867857
530	10.52795809
531	10.52722971
532	10.52688436
533	10.52613001
534	10.52560047
535	10.5253844
536	10.52441408
537	10.52383743
538	10.5233433
539	10.52262378
540	10.52190426
541	10.52127398
542	10.5210555
543	10.52056805
544	10.51966639
545	10.51911573
546	10.5185086
547	10.51799176
548	10.51760869
549	10.5168753
550	10.51629571
551	10.51593436
552	10.51523595
553	10.51475823
554	10.51418017
555	10.51332894
556	10.51268498
557	10.51203801
558	10.51147343
559	10.51099206
560	10.51038535
561	10.50988503
562	10.50942834
563	10.50862461
564	10.50827538
565	10.50779383
566	10.50732416
567	10.50690966
568	10.50656804
569	10.50614709
570	10.50574438
571	10.50520576
572	10.50470195
573	10.50436885
574	10.50375757
575	10.50321929
576	10.5027083
577	10.50208631
578	10.50180465
579	10.50118308
580	10.50072667
581	10.50012376
582	10.49992607
583	10.49965726
584	10.49935882
585	10.49899884
586	10.49848459
587	10.49810079
588	10.49738886
589	10.49689844
590	10.49662967
591	10.49629426
592	10.49588547
593	10.49541996
594	10.49510896
595	10.4948609
596	10.49443236
597	10.49414802
598	10.49359051
599	10.49317384
600	10.4929748
601	10.49245792
602	10.49190031
603	10.49156566
604	10.49103845
605	10.49037998
606	10.48966698
607	10.4891575
608	10.48883194
609	10.48856581
610	10.48826149
611	10.48814601
612	10.48781689
613	10.48745959
614	10.48704374
615	10.48683813
616	10.48660739
617	10.48637096
618	10.48616966
619	10.48593697
620	10.48559172
621	10.48509403
622	10.48462115
623	10.48403643
624	10.48365773
625	10.4834381
626	10.48325414
627	10.48274006
628	10.4826171
629	10.48210269
630	10.4819707
631	10.48173433
632	10.48138592
633	10.48111211
634	10.48077115
635	10.48053648
636	10.48023518
637	10.47985552
638	10.47967782
639	10.47932147
640	10.47894418
641	10.47872443
642	10.47855933
643	10.4782196
644	10.47781706
645	10.47736891
646	10.477227
647	10.47700542
648	10.47673972
649	10.47663093
650	10.47644151
651	10.47566239
652	10.47546847
653	10.47536785
654	10.47520697
655	10.47494305
656	10.47476979
657	10.47459497
658	10.47412544
659	10.47383536
660	10.47366297
